what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419309244669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419309245652
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419309245832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419310584942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419310587092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419310594091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419310594424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419310655175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419310655604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419313271293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419313273441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419313315447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1419313315480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419313320226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1419313330349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419313334325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1419313334384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419313344725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314041505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314044961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314046899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314063333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314086171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1419314086245
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1419314087534
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1419314092849
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1419314092869
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1419314093075
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1419314093077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314113079
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1419314125899
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1419314126214
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1419314128013
started,bundle,org.hibernate.eclipse.mapper,3.4.0.v20110624-0507-H6-M2,"org.hibernate.eclipse.mapper",1419314129673
started,bundle,org.jboss.tools.common.text.xml,3.3.0.v20110624-0455-H3-M2,"org.jboss.tools.common.text.xml",1419314130019
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1419314131859
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1419314132400
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1419314132730
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1419314133520
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1419314133999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1419314134599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314134701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314137245
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314201800
no handler,command,org.activiti.designer.gui,,"org.activiti.designer.gui.actions.pasteCommand",1419314203460
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1419314204736
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1419314205013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314205199
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1419314206295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314212751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314213237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314213800
no handler,command,org.activiti.designer.gui,,"org.activiti.designer.gui.actions.pasteCommand",1419314214787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314216942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314219954
no handler,command,org.activiti.designer.gui,,"org.activiti.designer.gui.actions.pasteCommand",1419314220836
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1419314221807
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1419314222231
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1419314226759
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1419314227033
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1419314232199
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1419314232562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1419314233994
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1419314235200
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1419314235369
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1419314235644
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1419314236940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1419314242264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314244241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314245382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314249335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314678622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419314679208
